fingers;thumb;amplitude
-0.187842;-0.18543;0.201274
-0.179685;-0.181861;0.200385
-0.171527;-0.178291;0.199476
-0.16337;-0.174721;0.198557
-0.155212;-0.171152;0.197655
-0.147055;-0.167582;0.196735
-0.138897;-0.164012;0.195808
-0.130739;-0.160442;0.194883
-0.122582;-0.156873;0.193954
-0.114424;-0.153303;0.193024
-0.106267;-0.149733;0.192085
-0.0981091;-0.146164;0.191135
-0.0899515;-0.142594;0.190195
-0.0817939;-0.139024;0.189237
-0.0736364;-0.135455;0.188295
-0.0654788;-0.131885;0.187344
-0.0573212;-0.128315;0.186381
-0.0491636;-0.124745;0.185414
-0.0410061;-0.121176;0.184448
-0.0328485;-0.117606;0.183471
-0.0246909;-0.114036;0.182498
-0.0165333;-0.110467;0.181531
-0.00837576;-0.106897;0.180537
-0.000218182;-0.103327;0.179555
0.00793939;-0.0997576;0.17857
0.016097;-0.0961879;0.177575
0.0242545;-0.0926182;0.176591
0.0324121;-0.0890485;0.175591
0.0405697;-0.0854788;0.174586
0.0487273;-0.0819091;0.173585
0.0568848;-0.0783394;0.172571
0.0650424;-0.0747697;0.171567
0.0732;-0.0712;0.170553
0.0813576;-0.0676303;0.169527
0.0895152;-0.0640606;0.168528
0.0976727;-0.0604909;0.16749
0.10583;-0.0569212;0.166462
0.113988;-0.0533515;0.165447
0.122145;-0.0497818;0.164415
0.130303;-0.0462121;0.163376
0.138461;-0.0426424;0.162351
0.146618;-0.0390727;0.1613
0.154776;-0.035503;0.160262
0.162933;-0.0319333;0.159223
0.171091;-0.0283636;0.15817
0.179248;-0.0247939;0.157131
0.187406;-0.0212242;0.156067
0.195564;-0.0176545;0.155021
0.203721;-0.0140848;0.15396
0.211879;-0.0105152;0.152899
0.220036;-0.00694545;0.151834
0.228194;-0.00337576;0.150787
0.236352;0.000193939;0.14971
0.244509;0.00376364;0.148635
0.252667;0.00733333;0.147564
0.260824;0.010903;0.146493
0.268982;0.0144727;0.145419
0.277139;0.0180424;0.14434
0.285297;0.0216121;0.14326
0.293455;0.0251818;0.142181
0.301612;0.0287515;0.1411
0.30977;0.0323212;0.140019
0.317927;0.0358909;0.138917
0.326085;0.0394606;0.137832
0.334242;0.0430303;0.13673
0.3424;0.0466;0.135647
0.350558;0.0501697;0.134553
0.358715;0.0537394;0.133454
0.366873;0.0573091;0.132356
0.37503;0.0608788;0.131259
0.383188;0.0644485;0.130157
0.391345;0.0680182;0.12906
0.399503;0.0715879;0.127947
0.407661;0.0751576;0.126843
0.415818;0.0787273;0.125725
0.423976;0.082297;0.124625
0.432133;0.0858667;0.123513
0.440291;0.0894364;0.122396
0.448448;0.0930061;0.121279
0.456606;0.0965758;0.120172
0.464764;0.100145;0.119051
0.472921;0.103715;0.117937
0.481079;0.107285;0.116822
0.489236;0.110855;0.115699
0.497394;0.114424;0.114566
0.505552;0.117994;0.113454
0.513709;0.121564;0.112328
0.521867;0.125133;0.111201
0.530024;0.128703;0.110074
0.538182;0.132273;0.108957
0.546339;0.135842;0.107829
0.554497;0.139412;0.106694
0.562655;0.142982;0.105552
0.570812;0.146552;0.104432
0.57897;0.150121;0.103301
0.587127;0.153691;0.102174
0.595285;0.157261;0.101044
0.603442;0.16083;0.099917
0.6116;0.1644;0.0987677
0.619758;0.16797;0.0976462
0.627915;0.171539;0.096506
0.636073;0.175109;0.0953694
0.64423;0.178679;0.0942402
0.652388;0.182248;0.0931036
0.660545;0.185818;0.0919719
0.668703;0.189388;0.0908193
0.676861;0.192958;0.089678
0.685018;0.196527;0.0885592
0.693176;0.200097;0.0874195
0.701333;0.203667;0.0862873
0.709491;0.207236;0.0851528
0.717648;0.210806;0.0840026
0.725806;0.214376;0.0828631
0.733964;0.217945;0.0817261
0.742121;0.221515;0.08059
0.750279;0.225085;0.0794534
0.758436;0.228655;0.0783196
0.766594;0.232224;0.07718
0.774752;0.235794;0.0760488
0.782909;0.239364;0.0749066
0.791067;0.242933;0.0737677
0.799224;0.246503;0.0726217
0.807382;0.250073;0.0714968
0.815539;0.253642;0.0703538
0.823697;0.257212;0.0692236
0.831855;0.260782;0.068083
0.840012;0.264352;0.0669547
0.84817;0.267921;0.0658197
0.856327;0.271491;0.0646735
0.864485;0.275061;0.0635348
0.872642;0.27863;0.0624074
0.8808;0.2822;0.0612916
0.888958;0.28577;0.0601587
0.897115;0.289339;0.0590292
0.905273;0.292909;0.0578924
0.91343;0.296479;0.0567645
0.921588;0.300048;0.0556331
0.929745;0.303618;0.0545128
0.937903;0.307188;0.0533818
0.946061;0.310758;0.0522593
0.954218;0.314327;0.0511303
0.962376;0.317897;0.0500073
0.970533;0.321467;0.0488834
0.978691;0.325036;0.0477742
0.986848;0.328606;0.0466454
0.995006;0.332176;0.0455266
1.00316;0.335745;0.0444086
1.01132;0.339315;0.0432969
1.01948;0.342885;0.0421791
1.02764;0.346455;0.0410648
1.03579;0.350024;0.0399605
1.04395;0.353594;0.0388432
1.05211;0.357164;0.037733
1.06027;0.360733;0.0366312
1.06842;0.364303;0.035518
1.07658;0.367873;0.0344216
1.08474;0.371442;0.0333181
1.0929;0.375012;0.0322167
1.10105;0.378582;0.0311153
1.10921;0.382152;0.0300221
1.11737;0.385721;0.0289272
1.12553;0.389291;0.0278298
1.13368;0.392861;0.0267363
1.14184;0.39643;0.0256478
