Fingers Position: -0.187842 | Thumb Position: -0.18543 | Amplitude: 0.201274
Fingers Position: -0.179685 | Thumb Position: -0.181861 | Amplitude: 0.200385
Fingers Position: -0.171527 | Thumb Position: -0.178291 | Amplitude: 0.199476
Fingers Position: -0.16337 | Thumb Position: -0.174721 | Amplitude: 0.198557
Fingers Position: -0.155212 | Thumb Position: -0.171152 | Amplitude: 0.197655
Fingers Position: -0.147055 | Thumb Position: -0.167582 | Amplitude: 0.196735
Fingers Position: -0.138897 | Thumb Position: -0.164012 | Amplitude: 0.195808
Fingers Position: -0.130739 | Thumb Position: -0.160442 | Amplitude: 0.194883
Fingers Position: -0.122582 | Thumb Position: -0.156873 | Amplitude: 0.193954
Fingers Position: -0.114424 | Thumb Position: -0.153303 | Amplitude: 0.193024
Fingers Position: -0.106267 | Thumb Position: -0.149733 | Amplitude: 0.192085
Fingers Position: -0.0981091 | Thumb Position: -0.146164 | Amplitude: 0.191135
Fingers Position: -0.0899515 | Thumb Position: -0.142594 | Amplitude: 0.190195
Fingers Position: -0.0817939 | Thumb Position: -0.139024 | Amplitude: 0.189237
Fingers Position: -0.0736364 | Thumb Position: -0.135455 | Amplitude: 0.188295
Fingers Position: -0.0654788 | Thumb Position: -0.131885 | Amplitude: 0.187344
Fingers Position: -0.0573212 | Thumb Position: -0.128315 | Amplitude: 0.186381
Fingers Position: -0.0491636 | Thumb Position: -0.124745 | Amplitude: 0.185414
Fingers Position: -0.0410061 | Thumb Position: -0.121176 | Amplitude: 0.184448
Fingers Position: -0.0328485 | Thumb Position: -0.117606 | Amplitude: 0.183471
Fingers Position: -0.0246909 | Thumb Position: -0.114036 | Amplitude: 0.182498
Fingers Position: -0.0165333 | Thumb Position: -0.110467 | Amplitude: 0.181531
Fingers Position: -0.00837576 | Thumb Position: -0.106897 | Amplitude: 0.180537
Fingers Position: -0.000218182 | Thumb Position: -0.103327 | Amplitude: 0.179555
Fingers Position: 0.00793939 | Thumb Position: -0.0997576 | Amplitude: 0.17857
Fingers Position: 0.016097 | Thumb Position: -0.0961879 | Amplitude: 0.177575
Fingers Position: 0.0242545 | Thumb Position: -0.0926182 | Amplitude: 0.176591
Fingers Position: 0.0324121 | Thumb Position: -0.0890485 | Amplitude: 0.175591
Fingers Position: 0.0405697 | Thumb Position: -0.0854788 | Amplitude: 0.174586
Fingers Position: 0.0487273 | Thumb Position: -0.0819091 | Amplitude: 0.173585
Fingers Position: 0.0568848 | Thumb Position: -0.0783394 | Amplitude: 0.172571
Fingers Position: 0.0650424 | Thumb Position: -0.0747697 | Amplitude: 0.171567
Fingers Position: 0.0732 | Thumb Position: -0.0712 | Amplitude: 0.170553
Fingers Position: 0.0813576 | Thumb Position: -0.0676303 | Amplitude: 0.169527
Fingers Position: 0.0895152 | Thumb Position: -0.0640606 | Amplitude: 0.168528
Fingers Position: 0.0976727 | Thumb Position: -0.0604909 | Amplitude: 0.16749
Fingers Position: 0.10583 | Thumb Position: -0.0569212 | Amplitude: 0.166462
Fingers Position: 0.113988 | Thumb Position: -0.0533515 | Amplitude: 0.165447
Fingers Position: 0.122145 | Thumb Position: -0.0497818 | Amplitude: 0.164415
Fingers Position: 0.130303 | Thumb Position: -0.0462121 | Amplitude: 0.163376
Fingers Position: 0.138461 | Thumb Position: -0.0426424 | Amplitude: 0.162351
Fingers Position: 0.146618 | Thumb Position: -0.0390727 | Amplitude: 0.1613
Fingers Position: 0.154776 | Thumb Position: -0.035503 | Amplitude: 0.160262
Fingers Position: 0.162933 | Thumb Position: -0.0319333 | Amplitude: 0.159223
Fingers Position: 0.171091 | Thumb Position: -0.0283636 | Amplitude: 0.15817
Fingers Position: 0.179248 | Thumb Position: -0.0247939 | Amplitude: 0.157131
Fingers Position: 0.187406 | Thumb Position: -0.0212242 | Amplitude: 0.156067
Fingers Position: 0.195564 | Thumb Position: -0.0176545 | Amplitude: 0.155021
Fingers Position: 0.203721 | Thumb Position: -0.0140848 | Amplitude: 0.15396
Fingers Position: 0.211879 | Thumb Position: -0.0105152 | Amplitude: 0.152899
