position;amplitude
0;0.313872
0.01;0.312986
0.02;0.312076
0.03;0.311136
0.04;0.310186
0.05;0.309209
0.06;0.308213
0.07;0.307198
0.08;0.30616
0.09;0.3051
0.1;0.304021
0.11;0.302921
0.12;0.301803
0.13;0.300666
0.14;0.299503
0.15;0.298326
0.16;0.297125
0.17;0.295901
0.18;0.294664
0.19;0.293412
0.2;0.292129
0.21;0.290834
0.22;0.289519
0.23;0.288181
0.24;0.286832
0.25;0.285461
0.26;0.284067
0.27;0.282661
0.28;0.281233
0.29;0.279785
0.3;0.278318
0.31;0.27684
0.32;0.27534
0.33;0.273824
0.34;0.272284
0.35;0.270733
0.36;0.269167
0.37;0.267584
0.38;0.265986
0.39;0.264366
0.4;0.262722
0.41;0.261076
0.42;0.259408
0.43;0.257717
0.44;0.256026
0.45;0.25431
0.46;0.25258
0.47;0.250838
0.48;0.249076
0.49;0.247301
0.5;0.245509
0.51;0.2437
0.52;0.241885
0.53;0.240051
0.54;0.238206
0.55;0.236346
0.56;0.234467
0.57;0.232583
0.58;0.23068
0.59;0.228768
0.6;0.226836
0.61;0.224893
0.62;0.222946
0.63;0.220977
0.64;0.219006
0.65;0.217015
0.66;0.215015
0.67;0.212998
0.68;0.21098
0.69;0.208936
0.7;0.206891
0.71;0.204836
0.72;0.202775
0.73;0.200701
0.74;0.198615
0.75;0.196518
0.76;0.194401
0.77;0.192291
0.78;0.190165
0.79;0.188032
0.8;0.185887
0.81;0.183732
0.82;0.181572
0.83;0.179405
0.84;0.177242
0.85;0.175052
0.86;0.17286
0.87;0.170662
0.88;0.168452
0.89;0.166245
0.9;0.164026
0.91;0.161796
0.92;0.159569
0.93;0.157333
0.94;0.155083
0.95;0.152837
0.96;0.150583
0.97;0.148327
0.98;0.146063
0.99;0.143792
1;0.141519
1.01;0.139238
1.02;0.136958
1.03;0.134674
1.04;0.132387
1.05;0.1301
1.06;0.127802
1.07;0.125507
1.08;0.123201
1.09;0.120896
1.1;0.1186
1.11;0.116291
1.12;0.113985
1.13;0.111668
1.14;0.109362
1.15;0.10705
1.16;0.104742
1.17;0.102431
1.18;0.100113
1.19;0.0978016
1.2;0.0954933
1.21;0.0931792
1.22;0.0908672
1.23;0.0885563
1.24;0.0862463
1.25;0.0839372
1.26;0.0816333
1.27;0.0793215
1.28;0.0770237
1.29;0.0747277
1.3;0.0724293
1.31;0.0701327
1.32;0.0678415
1.33;0.0655579
1.34;0.0632652
1.35;0.0609901
1.36;0.05871
1.37;0.0564402
1.38;0.0541717
1.39;0.0519076
1.4;0.0496506
1.41;0.0473866
1.42;0.0451412
1.43;0.0428949
1.44;0.0406606
1.45;0.0384231
1.46;0.0361964
1.47;0.033983
1.48;0.0317688
1.49;0.0295613
1.5;0.0273641
1.51;0.0251713
1.52;0.022986
1.53;0.0208124
1.54;0.0186399
1.55;0.0164772
1.56;0.0143219
1.57;0.0121802
1.58;0.0100498
1.59;0.00792227
1.6;0.00580471
1.61;0.00369683
1.62;0.00159869
1.63;0.000485167
1.64;0.00256672
