middle;thumb;amplitude
0.1466;0.0;0.122927
0.153333;0.005983;0.121969
0.160066;0.011966;0.121001
0.166799;0.017949;0.120034
0.173532;0.023932;0.119069
0.180265;0.029915;0.118098
0.186998;0.035898;0.117131
0.193731;0.041881;0.116148
0.200464;0.047864;0.115177
0.207197;0.053847;0.114196
0.21393;0.05983;0.113198
0.220663;0.065813;0.112229
0.227396;0.071796;0.111226
0.234129;0.077779;0.110245
0.240862;0.083762;0.109247
0.247595;0.089745;0.108267
0.254328;0.095728;0.10728
0.261061;0.101711;0.106269
0.267794;0.107694;0.105288
0.274527;0.113677;0.104278
0.28126;0.11966;0.103288
0.287993;0.125643;0.102276
0.294726;0.131626;0.101281
0.301459;0.137609;0.100281
0.308192;0.143592;0.0992706
0.314925;0.149575;0.0982684
0.321658;0.155558;0.0972588
0.328391;0.161541;0.0962446
0.335124;0.167524;0.0952382
0.341857;0.173507;0.0942328
0.34859;0.17949;0.0932318
0.355323;0.185473;0.092214
0.362056;0.191456;0.0912069
0.368789;0.197439;0.0901869
0.375522;0.203422;0.0891702
0.382255;0.209405;0.0881647
0.388988;0.215388;0.0871384
0.395721;0.221371;0.086132
0.402454;0.227354;0.0851134
0.409187;0.233337;0.0840877
0.41592;0.23932;0.0830842
0.422653;0.245303;0.082059
0.429386;0.251286;0.0810423
0.436119;0.257269;0.0800241
0.442852;0.263252;0.0790108
0.449585;0.269235;0.0779877
0.456318;0.275218;0.0769773
0.463051;0.281201;0.075947
0.469784;0.287184;0.0749246
0.476517;0.293167;0.0739195
0.48325;0.29915;0.0728773
0.489983;0.305133;0.0718716
0.496716;0.311116;0.0708556
0.503449;0.317099;0.0698451
0.510182;0.323082;0.0688188
0.516915;0.329065;0.0678165
0.523648;0.335048;0.0667926
0.530381;0.341031;0.0657887
0.537114;0.347014;0.0647606
0.543847;0.352997;0.0637624
0.55058;0.35898;0.0627441
0.557313;0.364963;0.0617336
0.564046;0.370946;0.0607255
0.570779;0.376929;0.0597175
0.577512;0.382912;0.058711
0.584245;0.388895;0.0577115
0.590978;0.394878;0.0567077
0.597711;0.400861;0.0557065
0.604444;0.406844;0.0547116
0.611177;0.412827;0.0537053
0.61791;0.41881;0.052718
0.624643;0.424793;0.0517155
0.631376;0.430776;0.0507245
0.638109;0.436759;0.0497251
0.644842;0.442742;0.0487553
0.651575;0.448725;0.0477598
0.658308;0.454708;0.0467837
0.665041;0.460691;0.0458176
0.671774;0.466674;0.0448404
0.678507;0.472657;0.0438703
0.68524;0.47864;0.0429003
0.691973;0.484623;0.0419426
0.698706;0.490606;0.0409795
0.705439;0.496589;0.0400336
0.712172;0.502572;0.0390913
0.718905;0.508555;0.0381408
0.725638;0.514538;0.0371934
0.732371;0.520521;0.0362674
0.739104;0.526504;0.0353404
0.745837;0.532487;0.0344214
0.75257;0.53847;0.03352
0.759303;0.544453;0.0326123
0.766036;0.550436;0.0317287
0.772769;0.556419;0.030831
0.779502;0.562402;0.0299758
0.786235;0.568385;0.0291136
0.792968;0.574368;0.0282595
0.799701;0.580351;0.0274193
0.806434;0.586334;0.026596
0.813167;0.592317;0.0257839
