Middle Position: 0.1466 | Thumb Position: 0 | Amplitude: 0.122927
Middle Position: 0.153333 | Thumb Position: 0.005983 | Amplitude: 0.121969
Middle Position: 0.160066 | Thumb Position: 0.011966 | Amplitude: 0.121001
Middle Position: 0.166799 | Thumb Position: 0.017949 | Amplitude: 0.120034
Middle Position: 0.173532 | Thumb Position: 0.023932 | Amplitude: 0.119069
Middle Position: 0.180265 | Thumb Position: 0.029915 | Amplitude: 0.118098
Middle Position: 0.186998 | Thumb Position: 0.035898 | Amplitude: 0.117131
Middle Position: 0.193731 | Thumb Position: 0.041881 | Amplitude: 0.116148
Middle Position: 0.200464 | Thumb Position: 0.047864 | Amplitude: 0.115177
Middle Position: 0.207197 | Thumb Position: 0.053847 | Amplitude: 0.114196
Middle Position: 0.21393 | Thumb Position: 0.05983 | Amplitude: 0.113198
Middle Position: 0.220663 | Thumb Position: 0.065813 | Amplitude: 0.112229
Middle Position: 0.227396 | Thumb Position: 0.071796 | Amplitude: 0.111226
Middle Position: 0.234129 | Thumb Position: 0.077779 | Amplitude: 0.110245
Middle Position: 0.240862 | Thumb Position: 0.083762 | Amplitude: 0.109247
Middle Position: 0.247595 | Thumb Position: 0.089745 | Amplitude: 0.108267
Middle Position: 0.254328 | Thumb Position: 0.095728 | Amplitude: 0.10728
Middle Position: 0.261061 | Thumb Position: 0.101711 | Amplitude: 0.106269
Middle Position: 0.267794 | Thumb Position: 0.107694 | Amplitude: 0.105288
Middle Position: 0.274527 | Thumb Position: 0.113677 | Amplitude: 0.104278
Middle Position: 0.28126 | Thumb Position: 0.11966 | Amplitude: 0.103288
Middle Position: 0.287993 | Thumb Position: 0.125643 | Amplitude: 0.102276
Middle Position: 0.294726 | Thumb Position: 0.131626 | Amplitude: 0.101281
Middle Position: 0.301459 | Thumb Position: 0.137609 | Amplitude: 0.100281
Middle Position: 0.308192 | Thumb Position: 0.143592 | Amplitude: 0.0992706
Middle Position: 0.314925 | Thumb Position: 0.149575 | Amplitude: 0.0982684
Middle Position: 0.321658 | Thumb Position: 0.155558 | Amplitude: 0.0972588
Middle Position: 0.328391 | Thumb Position: 0.161541 | Amplitude: 0.0962446
Middle Position: 0.335124 | Thumb Position: 0.167524 | Amplitude: 0.0952382
Middle Position: 0.341857 | Thumb Position: 0.173507 | Amplitude: 0.0942328
Middle Position: 0.34859 | Thumb Position: 0.17949 | Amplitude: 0.0932318
Middle Position: 0.355323 | Thumb Position: 0.185473 | Amplitude: 0.092214
Middle Position: 0.362056 | Thumb Position: 0.191456 | Amplitude: 0.0912069
Middle Position: 0.368789 | Thumb Position: 0.197439 | Amplitude: 0.0901869
Middle Position: 0.375522 | Thumb Position: 0.203422 | Amplitude: 0.0891702
Middle Position: 0.382255 | Thumb Position: 0.209405 | Amplitude: 0.0881647
Middle Position: 0.388988 | Thumb Position: 0.215388 | Amplitude: 0.0871384
Middle Position: 0.395721 | Thumb Position: 0.221371 | Amplitude: 0.086132
Middle Position: 0.402454 | Thumb Position: 0.227354 | Amplitude: 0.0851134
Middle Position: 0.409187 | Thumb Position: 0.233337 | Amplitude: 0.0840877
Middle Position: 0.41592 | Thumb Position: 0.23932 | Amplitude: 0.0830842
Middle Position: 0.422653 | Thumb Position: 0.245303 | Amplitude: 0.082059
Middle Position: 0.429386 | Thumb Position: 0.251286 | Amplitude: 0.0810423
Middle Position: 0.436119 | Thumb Position: 0.257269 | Amplitude: 0.0800241
Middle Position: 0.442852 | Thumb Position: 0.263252 | Amplitude: 0.0790108
Middle Position: 0.449585 | Thumb Position: 0.269235 | Amplitude: 0.0779877
Middle Position: 0.456318 | Thumb Position: 0.275218 | Amplitude: 0.0769773
Middle Position: 0.463051 | Thumb Position: 0.281201 | Amplitude: 0.075947
Middle Position: 0.469784 | Thumb Position: 0.287184 | Amplitude: 0.0749246
Middle Position: 0.476517 | Thumb Position: 0.293167 | Amplitude: 0.0739195
Middle Position: 0.48325 | Thumb Position: 0.29915 | Amplitude: 0.0728773
Middle Position: 0.489983 | Thumb Position: 0.305133 | Amplitude: 0.0718716
Middle Position: 0.496716 | Thumb Position: 0.311116 | Amplitude: 0.0708556
Middle Position: 0.503449 | Thumb Position: 0.317099 | Amplitude: 0.0698451
Middle Position: 0.510182 | Thumb Position: 0.323082 | Amplitude: 0.0688188
Middle Position: 0.516915 | Thumb Position: 0.329065 | Amplitude: 0.0678165
Middle Position: 0.523648 | Thumb Position: 0.335048 | Amplitude: 0.0667926
Middle Position: 0.530381 | Thumb Position: 0.341031 | Amplitude: 0.0657887
Middle Position: 0.537114 | Thumb Position: 0.347014 | Amplitude: 0.0647606
Middle Position: 0.543847 | Thumb Position: 0.352997 | Amplitude: 0.0637624
Middle Position: 0.55058 | Thumb Position: 0.35898 | Amplitude: 0.0627441
Middle Position: 0.557313 | Thumb Position: 0.364963 | Amplitude: 0.0617336
Middle Position: 0.564046 | Thumb Position: 0.370946 | Amplitude: 0.0607255
Middle Position: 0.570779 | Thumb Position: 0.376929 | Amplitude: 0.0597175
Middle Position: 0.577512 | Thumb Position: 0.382912 | Amplitude: 0.058711
